Gene,Regulation
FUCA1,Upregulated
ARHGDIB,Upregulated
KIF20A,Upregulated
CD37,Upregulated
FBP1,Upregulated
RNASET2,Upregulated
NCKAP1L,Upregulated
COL5A1,Upregulated
UCP2,Upregulated
TRPV2,Upregulated
FCGR1B,Upregulated
BTK,Upregulated
ARRB1,Upregulated
ALOX5,Upregulated
TLR7,Upregulated
LMO2,Upregulated
TNS3,Upregulated
CYBA,Upregulated
DOCK2,Upregulated
HLA-DMB,Upregulated
DOK2,Upregulated
CD28,Upregulated
CECR1,Upregulated
TMC6,Upregulated
JMJD4,Upregulated
LPXN,Upregulated
SMPDL3A,Upregulated
PTGDS,Upregulated
TOP2A,Upregulated
SLCO2B1,Upregulated
ICAM3,Upregulated
GPR65,Upregulated
KLRB1,Upregulated
CALML4,Upregulated
WAS,Upregulated
TPP1,Upregulated
ARHGAP22,Upregulated
CD2,Upregulated
TYMS,Upregulated
DHRS1,Upregulated
SLC7A7,Upregulated
NCAPD2,Upregulated
THY1,Upregulated
FOLR2,Upregulated
ENTPD1,Upregulated
CSK,Upregulated
SH2B3,Upregulated
ITGB2,Upregulated
LILRB2,Upregulated
LIPA,Upregulated
ZNF688,Upregulated
CD14,Upregulated
PRSS23,Upregulated
S100A2,Upregulated
CDH11,Upregulated
HPSE,Upregulated
GM2A,Upregulated
RTP4,Upregulated
CD180,Upregulated
ATP6V0E2,Upregulated
RHD,Upregulated
PRDX4,Upregulated
CD4,Upregulated
IKZF1,Upregulated
ST6GAL1,Upregulated
ABCC3,Upregulated
CD300A,Upregulated
LCP2,Upregulated
LY86,Upregulated
PYCARD,Upregulated
HLA-DMA,Upregulated
CCR1,Upregulated
ZNF710,Upregulated
NPL,Upregulated
CTSH,Upregulated
C1orf54,Upregulated
CD247,Upregulated
ITGA4,Upregulated
OAS1,Upregulated
CKAP2,Upregulated
HLA-DPA1,Upregulated
KIF4A,Upregulated
HLA-DPB1,Upregulated
TREM2,Upregulated
PDLIM2,Upregulated
NAGK,Upregulated
CD300C,Upregulated
ARHGAP25,Upregulated
LAIR1,Upregulated
SDC1,Upregulated
CCR2,Upregulated
CORO7,Upregulated
CCR5,Upregulated
CD86,Upregulated
MARCO,Upregulated
ZNF185,Upregulated
PTGS1,Upregulated
HCK,Upregulated
EFEMP2,Upregulated
ITM2C,Upregulated
PVRIG,Upregulated
TNFSF8,Upregulated
GALNT6,Upregulated
S100A10,Upregulated
GNA15,Upregulated
CASP8,Upregulated
STK10,Upregulated
ARSB,Upregulated
TMEM2,Upregulated
RAC2,Upregulated
ZNF74,Upregulated
COL1A2,Upregulated
TRIM14,Upregulated
LILRB4,Upregulated
SELPLG,Upregulated
PSTPIP1,Upregulated
CSF1R,Upregulated
SLC38A7,Upregulated
OLFML2B,Upregulated
TRAF3IP3,Upregulated
MFNG,Upregulated
MAN2B1,Upregulated
SAMSN1,Upregulated
HMHA1,Upregulated
TIMP1,Upregulated
PLXNB2,Upregulated
STXBP2,Upregulated
BTN2A2,Upregulated
LRRC15,Upregulated
BLNK,Upregulated
GFRA2,Upregulated
LST1,Upregulated
TK1,Upregulated
HK3,Upregulated
FCGR2A,Upregulated
SSR4,Upregulated
CEP55,Upregulated
IL10RA,Upregulated
RPS6KA1,Upregulated
CD74,Upregulated
CTSB,Upregulated
TP53I3,Upregulated
FZD2,Upregulated
APOBEC3B,Upregulated
ITGAM,Upregulated
RASSF2,Upregulated
CLN6,Upregulated
AIM1,Upregulated
PCDH12,Upregulated
ZNF671,Upregulated
CMTM6,Upregulated
EVI2B,Upregulated
VASH1,Upregulated
ITGAL,Upregulated
COTL1,Upregulated
CCNH,Downregulated
PLK2,Downregulated
NIT2,Downregulated
DNTTIP2,Downregulated
RND1,Downregulated
GTF2B,Downregulated
SLC19A2,Downregulated
BZW1,Downregulated
MAGI2,Downregulated
